date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,HeatIndexC 
2015-11-01,513,742,2.586,5473.141250000001,823.02,885.0,565.0,916.0,57.01,29.89,20.42,242.2,97.9,1.31,172.64741,144.3,33.36666667,23.43333333,0,10.64333333,6.766666667,50.43333333,23.21666667,33.03333333,33.03333333,28.78333333,5.65,41.95,74.45,0.813333333,1009.366667,28.78333333,9.133333333,139.3333333,3.85,
2015-12-01,545,721,2.5842,5473.141250000001,790.39,879.0,569.0,999.0,50.14,29.13375,19.63,199.6,105.2,1.69,195.32564,94.4,32.90322581,23.29032258,0,11.10322581,6.612903226,50.64516129,22.80645161,32.46774194,32.46774194,28.61290323,5.258064516,35.74193548,74.14516129,0.359677419,1011.032258,28.5,9.064516129,114.4677419,3.580645161,
2016-01-01,532,722,2.5643,5473.141250000001,771.51,874.0,528.0,1114.0,46.67,30.01,20.17,64.4,106.0,1.68,210.73787,3.2,34.0,23.35483871,0,11.1483871,6.870967742,50.22580645,22.43548387,32.98387097,32.98387097,29.06451613,5.870967742,32.03225806,71.17741935,0.20483871,1011.451613,29.03225806,9.0,99.87096774,4.14516129,
2016-02-01,550,760,2.561,5473.141250000001,808.43,868.0,517.0,1279.0,45.91,31.68,20.79,102.6,133.4,1.24,241.17823,5.1,34.17241379,22.75862069,0,11.16551724,6.75862069,50.0,21.72413793,32.39655172,32.39655172,28.9137931,7.017241379,32.03448276,69.65517241,0.094827586,1011.5298381250002,28.89655172,9.137931034,62.79310345,5.034482759,
2016-03-01,561,777,2.562,5473.141250000001,844.71,868.0,514.0,1358.0,46.93,32.69,21.05,82.5,128.9,1.14,232.76792,4.1,35.87096774,24.0,0,11.41935484,7.612903226,49.93548387,22.38709677,34.40322581,34.40322581,30.35483871,5.870967742,29.58064516,67.09677419,0.309677419,1011.209677,30.33870968,9.725806452,129.7419355,4.241935484,
2016-04-01,567,768,2.5589,5473.141250000001,867.68,874.0,534.0,1401.0,41.73,32.27,21.25,303.4,119.3,1.11,207.04085,129.4,34.46666667,24.0,0,10.52666667,7.166666667,49.83333333,23.46666667,34.66666667,34.65451195,29.9,5.5,36.13333333,72.31666667,0.413333333,1009.516667,29.65,9.25,157.8166667,3.85,
2016-05-01,580,768,2.5544,5202.66,925.81,886.0,527.0,1469.0,45.32,32.0,20.61,75.4,106.1,1.29,187.31544,3.8,34.16129032,24.38709677,0,11.10645161,7.290322581,49.32258065,23.5483871,34.46774194,34.46774194,29.70967742,5.596774194,40.83870968,72.4516129,0.769354839,1008.967742,29.56451613,9.483870968,159.5483871,3.806451613,
2016-06-01,559,737,2.5266,4815.96,958.29,896.0,541.0,1709.0,45.77,31.91,20.63,138.9,107.3,1.32,181.30579,9.8,34.26666667,23.36666667,0,11.13333333,7.133333333,49.6,21.35,32.78333333,32.78333333,29.5,6.433333333,36.08333333,65.36666667,0.488333333,1009.733333,29.45,9.516666667,178.1333333,4.733333333,
2016-07-01,562,710,2.4953,4235.24,1044.75,938.0,541.0,1839.0,47.31,31.35,20.55,179.9,107.5,1.55,180.30551,72.4,33.87096774,23.4516129,0,10.52580645,7.35483871,48.70967742,21.93548387,32.83870968,32.83870968,29.27419355,6.774193548,30.37096774,68.37096774,0.311290323,1009.322581,29.0,9.516129032,167.5645161,4.887096774,
2016-08-01,553,654,2.5155,4246.53,1146.97,981.0,541.0,1863.0,46.96,31.37,20.97,196.5,93.7,1.22,165.28539,102.8,35.16129032,23.5483871,0,11.46451613,7.64516129,48.19354839,20.67741935,32.69354839,32.69354839,29.77419355,7.032258065,31.11290323,61.98387097,0.216129032,1008.806452,29.75806452,9.532258065,205.1774194,5.209677419,
2016-09-01,533,637,2.5269,3452.36,1252.43,1047.0,550.0,1838.0,50.3,30.6,20.8,351.8,93.7,1.33,158.57955,258.1,35.43333333,23.26666667,0,11.46,7.6,49.33333333,20.35,32.58333333,32.58333333,29.78333333,7.233333333,35.7,61.56666667,0.423333333,1009.45,29.78333333,9.716666667,246.05,5.35,
