Date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12,32.41935484,23.64516129,0,10.6516129,6.612903226,49.61290323,22.96774194,32.27419355,32.27419355,28.30645161,5.725806452,38.12903226,75.12903226,0.624193548,1010.129032,28.29032258,9.612903226,178.1612903,4.290322581
2019-01,33.35483871,23.38709677,0,10.92258065,6.967741935,49.09677419,21.79032258,31.96774194,31.96774194,28.64516129,8.5,35.91935484,69.41935484,0.087096774,1011.387097,28.64516129,9.887096774,104.1129032,6.080645161
2019-02,34.21428571,23.35714286,0,10.9,7.107142857,51,21.91071429,32.76785714,32.76785714,29.23214286,7.517857143,34.19642857,68.46428571,0.235714286,1012,29.23214286,9.857142857,84.39285714,5.089285714
2019-03,34.87096774,24.19354839,0,11.32903226,7.225806452,49.19354839,22.16129032,33.61290323,33.61290323,29.90322581,6.806451613,32.19354839,67.14516129,0.577419355,1010.854839,29.90322581,9.532258065,143.0645161,4.532258065
2019-04,34.6,24.9,0,11.08666667,7.3,49.63333333,23.45,34.86666667,34.86666667,30,6.3,37.28333333,70.75,0.761666667,1009.45,30,9.516666667,154.2666667,4.183333333
2019-05,34.16129032,24.77419355,0,11.41935484,7.516129032,48.51612903,22.87096774,34.0483871,34.0483871,29.82258065,8.451612903,30.08064516,68.90322581,0.517741935,1009.548387,29.82258065,9.629032258,226.6774194,6.096774194
2019-06,32.53333333,23.8,0,10.95333333,6.666666667,49.43333333,23.31666667,32.78333333,32.78333333,28.45,8.016666667,38.6,75.11666667,0.423333333,1009.116667,28.45,9.5,156.3833333,5.433333333
2019-07,32.32258065,23.41935484,0,11.1483871,6.903225806,47.96774194,22.67741935,32.06451613,32.06451613,28.22580645,7.838709677,30.17741935,73.69354839,0.127419355,1009.629032,28.22580645,9.85483871,145.2096774,5.564516129
2019-08,32.70967742,23.61290323,0,11.46451613,7.032258065,47.74193548,22.33870968,32.16129032,32.16129032,28.53225806,9,27.14516129,71.03225806,0.090322581,1009.596774,28.53225806,9.838709677,154.7741935,6.322580645
2019-09,33.26666667,23.4,0,11.22666667,7.133333333,49.46666667,21.86666667,32.16666667,32.16666667,28.7,8.883333333,27.81666667,69.13333333,0.131666667,1010.066667,28.7,9.816666667,124.6333333,5.95
2019-10,32.41935484,23.09677419,0,10.84516129,6.516129032,48.4516129,22.70967742,31.85483871,31.85483871,28.0483871,5.790322581,42.29032258,74.93548387,0.264516129,1008.983871,28.0483871,9.5,146.6290323,4.016129032
